"","lon","lat","NAME","type","inmates"
"94",-94.0562518,30.9726344,"Jasper CCD","state_pris",595
"95",-96.8740385,31.3409711,"Marlin CCD","local_jail",590
"96",-99.0735686,28.4216126,"Cotulla CCD","state_pris",580
"97",-101.7536489,34.5542087,"Tulia CCD","state_pris",578
"98",-98.7854292,31.0693309,"San Saba CCD","state_pris",575
"99",-98.5500206,33.9290734,"Wichita Falls CCD","local_jail",553
"100",-97.3856388,32.7534125,"Fort Worth CCD","state_pris",549
"101",-102.367621,31.9276128,"Odessa CCD","local_jail",533
"102",-94.9682664,30.2917875,"Cleveland CCD","state_pris",525
"103",-98.3460839,27.8873624,"San Diego CCD","state_pris",514
"104",-94.9137477,32.2750691,"Overton CCD","state_pris",500
"105",-98.8234128,32.8477997,"Breckenridge North CCD","state_pris",486
"106",-97.4438448,32.2859713,"Cleburne CCD","local_jail",478
"107",-97.9613619,29.6142434,"Seguin CCD","local_jail",465
"108",-96.5102719,31.6872247,"Mexia CCD","state_pris",442
"109",-99.0178311,31.6045559,"Brownwood CCD","state_pris",421
"110",-95.738133,29.5021791,"Rosenberg-Richmond CCD","state_pris",419
"111",-98.2649456,30.8399436,"Burnet CCD","state_pris",417
"112",-95.0649056,29.438943,"Texas City-League City CCD","state_pris",417
"113",-100.4319186,31.4601032,"San Angelo CCD","local_jail",411
"114",-96.9756324,28.897687,"Victoria CCD","local_jail",409
"115",-98.2649456,30.8399436,"Burnet CCD","local_jail",407
"116",-97.8931746,30.049667,"Kyle-Buda CCD","state_pris",388
"117",-99.1090164,28.8748706,"Pearsall CCD","local_jail",381
"118",-97.8950395,32.6704891,"Weatherford CCD","local_jail",380
"119",-101.7919801,35.2351324,"Amarillo CCD","local_jail",371
"120",-95.8249737,32.206562,"Athens CCD","local_jail",366
"121",-96.1967636,33.5543462,"Bonham CCD","local_jail",346
"122",-94.7814649,30.0001881,"Liberty-Dayton CCD","local_jail",339
"123",-101.8977362,35.0930172,"Amarillo CCD","local_jail",317
"124",-96.8256524,32.3607705,"Waxahachie CCD","local_jail",306
