"","lon","lat","NAME","type","inmates"
"96",-89.1448101,35.3424454,"District 3","state_pris",3456
"97",-76.9268724,40.2088819,"Lower Allen township","state_pris",3441
"98",-71.4850489,41.7697341,"Cranston city","state_pris",3433
"99",-66.6695852,17.9913595,"Canas barrio","state_pris",3426
"100",-75.2279544,39.4275181,"Bridgeton city","state_pris",3397
"101",-75.4191299,40.2166573,"Skippack township","local_jail",3392
"102",-94.2690446,39.7957404,"Grand River township","state_pris",3386
"103",-72.5555531,41.983993,"Enfield town","state_pris",3374
"104",-124.2639255,41.7893736,"Crescent City CCD","state_pris",3367
"105",-120.4703931,34.6260558,"Lompoc CCD","fed_pris",3361
"106",-85.732243,39.9949902,"Fall Creek township","state_pris",3351
"107",-95.3887412,29.8014132,"Houston CCD","state_pris",3317
"108",-91.5206368,34.0535167,"Auburn township","state_pris",3288
"109",-84.2320232,30.1299507,"East Wakulla CCD","state_pris",3284
"110",-77.5615062,36.8115805,"District 4","state_pris",3276
"111",-87.4086021,39.3922323,"Honey Creek township","fed_pris",3260
"112",-90.0872728,32.288383,"District 5","state_pris",3256
"113",-97.3856388,32.7534125,"Fort Worth CCD","fed_pris",3247
"114",-75.7156304,38.121626,"District 13, Westover","state_pris",3240
"115",-89.9390074,30.0686361,"New Orleans city","local_jail",3238
"116",-93.9591808,29.9439502,"Port Arthur CCD","state_pris",3226
"117",-102.9030577,40.6184514,"Fleming CCD","state_pris",3224
"118",-84.2642049,33.7369391,"Atlanta-Decatur CCD","local_jail",3219
"119",-77.2801066,37.2621168,"Bland district","fed_pris",3207
"120",-86.872294,41.5592475,"New Durham township","state_pris",3178
"121",-78.0288184,40.4781423,"Smithfield township","state_pris",3169
"122",-88.0888078,41.5962634,"Lockport township","state_pris",3160
"123",-77.0170942,38.9041485,"Washington city","local_jail",3134
"124",-82.7900268,27.9691826,"Clearwater CCD","local_jail",3127
"125",-86.1190371,40.6051409,"Deer Creek township","state_pris",3120
"126",-114.9681904,35.916335,"Clark CCD","state_pris",3111
"127",-89.8524347,35.1470778,"District 1","local_jail",3098
"128",-105.1541312,38.3297437,"Florence CCD","fed_pris",3085
"129",-83.5432701,29.9060812,"Perry South CCD","state_pris",3055
"130",-88.7328554,43.6231505,"Waupun city","state_pris",3037
"131",-89.4332888,40.0884941,"Broadwell township","state_pris",3032
"132",-82.1126925,32.0428919,"Reidsville CCD","state_pris",3020
"133",-85.2465871,30.0606837,"Wewahitchka CCD","state_pris",3014
"134",-80.1039521,26.2394153,"Pompano Beach CCD","local_jail",2970
"135",-74.2926271,40.5607509,"Woodbridge township","state_pris",2957
"136",-88.5489426,31.1735663,"District 1","state_pris",2946
"137",-117.7445668,44.1440235,"Brogan CCD","state_pris",2927
"138",-73.8129713,44.7473788,"Dannemora town","state_pris",2924
"139",-84.1120905,40.7406793,"Lima city","state_pris",2886
"140",-97.2421648,35.1359606,"East Cleveland CCD","state_pris",2884
"141",-82.9056615,30.4972506,"Jasper CCD","state_pris",2877
"142",-97.8418468,28.7694048,"Kenedy CCD","state_pris",2846
"143",-94.8361971,30.7204527,"Livingston-Onalaska CCD","state_pris",2843
"144",-82.3806715,30.0561345,"Lake Butler CCD","state_pris",2836
"145",-94.1579492,29.928096,"LaBelle CCD","state_pris",2819
"146",-86.9250718,30.6234528,"East Milton CCD","state_pris",2795
"147",-73.8633045,42.3456803,"Coxsackie town","state_pris",2774
"148",-93.0536372,32.9411075,"District 2","state_pris",2767
"149",-94.4533716,33.4781144,"New Boston CCD","state_pris",2759
"150",-95.9658155,30.3482134,"Navasota CCD","state_pris",2736
"151",-80.4345966,25.7536469,"Kendale Lakes-Tamiami CCD","state_pris",2727
"152",-66.1369829,18.4021131,"Juan Sánchez barrio","state_pris",2701
"153",-80.9067229,40.057823,"Richland township","state_pris",2692
"154",-80.7426273,26.7602989,"Belle Glade-Pahokee CCD","state_pris",2673
"155",-92.4144502,31.4835211,"District 6","fed_pris",2647
"156",-103.8721267,38.3047959,"Ordway CCD","state_pris",2647
"157",-87.4694458,31.1860534,"McCullough-Huxford CCD","state_pris",2641
"158",-84.9674366,41.9634048,"Coldwater township","state_pris",2627
"159",-90.443333,37.7980646,"St. Francois township","state_pris",2623
"160",-86.8367567,39.5592433,"Warren township","state_pris",2621
"161",-117.9080045,35.2072518,"East Kern CCD","fed_pris",2614
"162",-75.2677377,43.1726122,"Marcy town","state_pris",2608
"163",-83.3805308,40.2484247,"Paris township","state_pris",2595
"164",-79.9765919,40.4397525,"Pittsburgh city","local_jail",2594
