"CTYNAME","pop2020","GrowthRate"
"Lynn County","5949","0.5918"
"Haskell County","5873","-0.1021"
"Floyd County","5783","-9.6830"
"Crosby County","5593","-7.1855"
"Delta County","5475","4.4648"
"Hansford County","5423","-3.1780"
"Hartley County","5415","-10.7025"
"Jim Hogg County","5254","-0.6430"
"Hudspeth County","5185","49.3376"
"Crane County","4956","13.0990"
"Wheeler County","4921","-8.6505"
"Mills County","4889","-1.5902"
"Mason County","4434","10.5736"
"Kimble County","4274","-7.1273"
"Concho County","4206","2.5353"
"Hardeman County","3838","-7.7182"
"Reagan County","3823","14.0173"
"Kinney County","3751","4.4847"
"Fisher County","3709","-6.6449"
"Upton County","3691","10.5752"
"Sutton County","3678","-9.4535"
"Baylor County","3628","-2.1575"
"Knox County","3593","-3.4918"
"Hemphill County","3585","-5.5336"
"Real County","3580","7.7664"
"Coke County","3504","5.5740"
"Crockett County","3387","-8.4842"
"Lipscomb County","3313","0.9138"
"Donley County","3255","-12.8281"
"Sherman County","3155","4.2975"
"Shackelford County","3149","-7.0269"
"Hall County","2966","-11.6999"
"Collingsworth County","2930","-4.0602"
"Cochran County","2802","-10.9628"
"Schleicher County","2695","-23.0659"
"Dickens County","2333","-4.6588"
"Jeff Davis County","2214","-5.5461"
"Menard County","2175","-2.4664"
"Oldham County","2167","5.7073"
"Culberson County","2138","-11.0649"
"Armstrong County","1914","0.6309"
"Edwards County","1902","-4.8524"
"Irion County","1544","-3.9203"
"Briscoe County","1512","-7.3529"
"Throckmorton County","1507","-8.0537"
"Glasscock County","1444","17.2078"
"Cottle County","1405","-7.0767"
"Sterling County","1331","17.0624"
"Stonewall County","1312","-12.2995"
"Motley County","1244","3.2365"
"Foard County","1188","-11.6729"
"Roberts County","835","-9.6320"
"Terrell County","829","-18.0020"
"McMullen County","677","-4.7820"
"Kent County","658","-18.9655"
"Borden County","604","-6.5015"
"Kenedy County","482","15.5875"
"King County","253","-12.1528"
"Loving County","184","119.0476"
